row.ID,annotation.network.number,NIST_POS_Samp_03.01,NIST_POS_Samp_17.01,NIST_POS_Samp_13.01,NIST_POS_Samp_15.01,NIST_POS_Samp_14.01,NIST_POS_Samp_06.01,NIST_POS_Samp_04.01,NIST_POS_Samp_01.01,NIST_POS_Samp_05.01,NIST_POS_Samp_16.01,NIST_POS_Samp_02.01,NIST_POS_Samp_12.01,NIST_POS_Samp_18.01,NIST_POS_Samp_10.01,NIST_POS_Samp_06.02,NIST_POS_Samp_11.01,NIST_POS_Samp_07.01,NIST_POS_Samp_13.02,NIST_POS_Samp_17.02,NIST_POS_Samp_01.02,NIST_POS_Samp_02.02,NIST_POS_Samp_03.02,NIST_POS_Samp_16.02,NIST_POS_Samp_04.02,NIST_POS_Samp_15.02,NIST_POS_Samp_09.01,NIST_POS_Samp_14.02,NIST_POS_Samp_18.02,NIST_POS_Samp_08.01,NIST_POS_Samp_05.02,NIST_POS_Samp_01.03,NIST_POS_Samp_09.02,NIST_POS_Samp_14.03,NIST_POS_Samp_03.03,NIST_POS_Samp_13.03,NIST_POS_Samp_10.02,NIST_POS_Samp_04.03,NIST_POS_Samp_11.02,NIST_POS_Samp_12.02,NIST_POS_Samp_02.03,NIST_POS_Samp_18.03,NIST_POS_Samp_17.03,NIST_POS_Samp_08.02,NIST_POS_Samp_15.03,NIST_POS_Samp_16.03,NIST_POS_Samp_07.02,NIST_POS_Samp_05.03,NIST_POS_Samp_06.03,NIST_POS_Samp_10.03,NIST_POS_Samp_11.03,NIST_POS_Samp_12.03,NIST_POS_Samp_08.03,NIST_POS_Samp_07.03,NIST_POS_Samp_09.03
69,10,67417.88,73964.92,89955.17,74552.875,60036.625,94223.336,79278.67,92415.2,86718.85,64275.953,82832.36,171460.38,68639.56,133940.53,0,154235.58,176839,125814.32,0,110231.25,164752.42,104520.94,0,135119.81,123013.5,235548.03,0,0,256188.88,0,159969.64,193966.42,0,175313.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1,2006397.8,2179207.2,2337304,1824658.9,1748144.8,2265853.5,2304102.8,2452130.5,2184425.5,1618263,2219958,2808605,1561600.8,2586166.8,1846171,2774626,3134001.5,2463168.5,0,2333435.5,2734265.2,2250545.5,0,2571584.2,2168985.2,3426747.5,0,0,3095177.5,0,2893088,3492478.5,1704137.6,3121657.8,2289311.5,0,0,0,0,0,0,2053481.2,3345419.5,1934084.2,0,0,0,1774222,2819120.2,2646959,0,0,0,3394742
91,NA,753935.2,450342.53,881273.9,809023.75,355379.5,398311.16,666477.8,862617.94,438106.8,570142.2,389306.8,0,309619.25,0,331667.56,0,0,924842.06,0,786400.3,485443.06,857919.4,600211.44,744393.2,910836.75,0,375358.94,0,0,347023.16,894411.4,0,336767.4,1088675,791701.5,0,0,0,0,0,0,397001.22,0,826526.8,0,0,0,284891.44,0,0,0,0,0,0
109,NA,364531.94,82075.72,401624.84,357416.2,350418.78,101440.89,87498.26,443741.9,79984.01,65215.75,407526.22,228909.1,70171.086,222644.73,61123.32,219594.08,805179.7,447213.72,0,366988.22,501714.97,381143.5,74925.04,82652.94,424936.16,957104.6,370834.03,0,925078.06,51987.023,462135.53,933899.44,339964.62,505524.97,0,238804.22,75446.72,166441.62,183710.02,0,0,88957.36,927659.8,374418.56,0,0,0,67068.09,0,0,0,0,0,0
110,94,644699.6,150238.28,715747.5,657122.7,608787.4,131711.6,140011.2,743901,124455.61,122886.586,662192,169544.03,118422.77,181156.55,113233.62,180796.92,1072744,790347.9,122494.29,690471.1,913222.8,726649.2,135554.97,146221.05,766171.44,1103198,723783.25,0,1050933.1,0,767792.4,1104030.6,623889.1,869409.3,695730.9,155883.31,0,0,162284.95,0,100411.445,135725.25,1122200.1,698287.3,0,889382.4,0,118156.42,194217.7,179212.75,169168.27,919758.5,0,1049074.5
84,1,553765.8,573506.5,614071.44,476692.75,436341.6,583127.9,597176.5,600701.9,591109.9,404374.38,563359.1,764164.75,400050.47,691269,513631.47,754927.1,795846.4,680916.75,0,626340.6,770244.06,586798.75,0,665237.6,572504.56,891662.7,0,0,780279.4,0,741913.56,904739.25,446233.7,799004.25,572996.7,0,0,513196.53,0,0,10542.552,537245.2,23292.375,507925.7,0,0,0,491511.4,763944.8,0,614305.4,0,0,965649.6
146,3,52003.4,73107.24,49314.47,47347.72,54267.68,74329.42,86152.94,48141.1,71085.56,67527.17,54436.633,90181.54,57828.46,87623.125,65266.383,104834.266,96618.63,61562.246,78588.52,52643.414,57263.836,52686.03,63470.55,86239.4,57811.586,82356.08,49142.777,63639.992,106825.43,55071.414,54722.883,95015.06,56717.18,71746.02,54412.918,126937.61,85108.86,107450.914,95307.79,60617.938,62474.82,71729.75,93141.56,51821.086,0,84492.06,59511.184,63054.863,101869.18,96585.44,111473.93,0,0,89988.266
627,58,3307886.2,2737307.2,3303270,3016795.2,2839549,2844106,3059293.5,3628643.2,2983045,3056404.8,3313910.5,3783042,2240074.2,4702842,3568710.8,5081528.5,4411250,3503125.2,2421998.8,3674183.2,4174546.8,3586205,3222401.5,4180499.8,3267518.5,5007564.5,3049781.5,2408475.8,4489171.5,3378048.2,4112597.8,4979917.5,2609345,4129133.5,2975246.5,4991818.5,3706202.5,4208277.5,4356704.5,3265638,686212.7,2980203,4879699,2804511.2,0,3857343.8,984603.06,3166051.2,4487179,3275574.2,2948206.8,0,0,4604243
224,3,176916,132412.31,196730.12,210928.78,193499.6,122062.91,118864.34,201168.34,143400.12,96821.88,197691.36,203895.1,113966.72,163048.1,106290.64,185864.66,325027.38,212506.12,101066.69,197824,251665.48,197428.06,0,134066.66,251916.14,381477.38,207166.97,116280.94,365642.8,110796.63,241280.25,342629.75,183252.23,263239.22,212657.92,219178.97,113841.47,146122.72,0,224043.47,0,130911.82,401066.12,224780.05,0,279511.7,8241.859,97433.586,192494.84,185997.45,177256.36,0,0,378181.1
66,NA,45354.973,4325.25,48523.812,43277.367,45141.8,0,3592.0742,58194.543,3619.8296,8028.6772,57185.637,8454.327,7398.7485,5929.043,0,8036.3745,64370.6,51782.406,4767.547,50362.797,68981.34,56614.605,0,4870.3223,35525.906,88878.52,50297.65,8259.436,75161.66,0,56726.85,87841.6,46398.336,63980.266,49280.58,3034.9956,5551.367,8971.45,4519.2266,59933.88,1557.4906,8565.41,78662.17,52677.4,7317.4346,62292.086,2966.5127,2553.4155,8055.4517,5142.51,12417.592,74570.66,18863.098,116240.98
